effect,group,term,estimate,std.error,statistic,df,p.value
fixed,NA,(Intercept),-0.025990574075051242,0.025130322568002027,-1.0342316142071553,44.05816962957951,0.30667159882414846
fixed,NA,SpeechStyle,0.3949447591998013,0.034762148286596656,11.361344987763065,52.32517510382358,9.660721607606898e-16
ran_pars,subj_id,sd__(Intercept),0.05214271555460629,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,1,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,0.06423319282857805,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),4.223699282289713e-6,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.31544168219176705,NA,NA,NA,NA
fixed,NA,(Intercept),0.00487473313110859,0.030650536890727522,0.1590423407096437,14.000102497822565,0.8759070465826428
fixed,NA,SpeechStyle,0.384640155438379,0.043346404965554655,8.873634520418346,14.000102500072574,4.0170260340989737e-7
ran_pars,subj_id,sd__(Intercept),0,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,NA,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,1.1814785114061622e-6,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.06157809429044513,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.2989494243677684,NA,NA,NA,NA
fixed,NA,(Intercept),-0.001484101736895066,0.026483697646423627,-0.05603831295421393,13.437844686274866,0.9561359541030858
fixed,NA,SpeechStyle,0.3892006475233747,0.03428469089008664,11.352024399785718,10.802662979728003,2.4312151421160223e-7
ran_pars,subj_id,sd__(Intercept),0.053852411491049114,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,-0.6666797389399073,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,0.018552239320055786,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.037467575052985036,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.27887961589471477,NA,NA,NA,NA
fixed,NA,(Intercept),-0.02572255108223348,0.021292172484771634,-1.2080754606243442,62.27026507661691,0.23158630492948465
fixed,NA,SpeechStyle,0.4023303864793422,0.029802378787548663,13.499942046486389,76.72535385548673,5.8130966259133225e-22
ran_pars,subj_id,sd__(Intercept),0.029287049919387294,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,0.9999999538310319,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,0.03564699288379474,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.2831653555918126,NA,NA,NA,NA
fixed,NA,(Intercept),0.03358279357798704,0.024903851643760026,1.3484979776773458,13.749204328459271,0.1992930105817966
fixed,NA,SpeechStyle,0.3269029793289118,0.03757440841470285,8.7001497327898,15.183527136334245,2.750896581054161e-7
ran_pars,subj_id,sd__(Intercept),0.07250914440878012,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,-0.18424446908357528,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,0.1209526038976112,NA,NA,NA,NA
