effect,group,term,estimate,std.error,statistic,df,p.value
fixed,NA,(Intercept),-0.38611075294130026,0.24429689537835425,-1.5804979934080297,1.9998009316284622,0.2547904089625628
fixed,NA,SpeechStyle,0.3181632756214639,0.35692123749803667,0.891410323049813,2.265177695515054,0.45712561112541655
ran_pars,subj_id,sd__(Intercept),0,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,NA,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,0.4390213733510148,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.28411932719675165,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.9629723247895003,NA,NA,NA,NA
fixed,NA,(Intercept),-0.005108131623380562,0.14925399314055018,-0.03422442184558716,22.995123247708626,0.9729935429914599
fixed,NA,SpeechStyle,0.2148726175508855,0.24016650425824132,0.8946818717061462,23.000082519631174,0.38022474355726044
ran_pars,subj_id,sd__(Intercept),0.27464910439888085,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,-0.9178661909383332,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,0.6825678288888328,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.9583422944798776,NA,NA,NA,NA
fixed,NA,(Intercept),0.327046486334131,0.16002818687125162,2.0436805085922245,28.021071939048845,0.05048838725920412
fixed,NA,SpeechStyle,0.29575311794016373,0.20083122266931733,1.4726451097055857,68.19812225125877,0.14544710886557474
ran_pars,subj_id,sd__(Intercept),0.3643712950202157,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,0.9999995447779882,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,0.06554550147399865,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.9816822842493348,NA,NA,NA,NA
