effect,group,term,estimate,std.error,statistic,df,p.value
fixed,NA,(Intercept),0.032855166412977144,0.10863775866810552,0.30242861060261317,6.3312523219205925,0.7720163425704208
fixed,NA,SpeechStyle,0.15674096861201817,0.15417316692276564,1.0166553087058197,6.418017689592066,0.3461006532154438
fixed,NA,age_subj,0.3070016085171764,0.10330518749242433,2.9717927624853275,22.001380033947004,0.007039203507887113
ran_pars,subj_id,sd__(Intercept),0.06220424082086722,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,0.7840396483709261,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,0.1403760315958079,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.20701120179097904,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.2702431768831568,NA,NA,NA,NA
fixed,NA,(Intercept),-0.1858680091386098,0.0681239076149082,-2.728381498449665,6.978082978841773,0.029496862451076706
fixed,NA,SpeechStyle,0.16569772919835868,0.09643474739949665,1.7182367732237516,7.035250144976136,0.12923410936780927
fixed,NA,age_subj,0.08541146747590968,0.11185842364389378,0.7635675945856419,22.00012836648586,0.4532363000884234
ran_pars,subj_id,sd__(Intercept),0.09992917963978931,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,0.49196482135962605,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,0.1430679951594497,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.11295504440173974,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.31501522577673413,NA,NA,NA,NA
fixed,NA,(Intercept),-0.10115343235194707,0.15592600066691314,-0.6487271649327399,6.553284057523705,0.5385729175530096
fixed,NA,SpeechStyle,0.1425600598950126,0.21633690935785976,0.6589724347924047,6.0802183977721285,0.53405956683840206
fixed,NA,age_subj,-0.013478628543088914,0.15938768367183173,-0.08456505692648425,21.9992443032372,0.933372036851006
ran_pars,subj_id,sd__(Intercept),0.15255049211586127,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,0.009728214138786714,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,0.08836233597781748,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.29832294370664775,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.30813293589362784,NA,NA,NA,NA
fixed,NA,(Intercept),-0.01127681468675443,0.06777822921459307,-0.16637812491457746,6.755876352779945,0.8727288535089799
fixed,NA,SpeechStyle,0.22095748191943237,0.0978994035036924,2.2569849663190102,7.306021444838234,0.05703904684916971
fixed,NA,age_subj,0.15922069463215333,0.08938486049401526,1.7812937644268507,22.00294132884078,0.08867508084829022
ran_pars,subj_id,sd__(Intercept),0.08781799219118311,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,-0.632507833772579,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,0.15836001776897282,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.1148257911875916,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.305697870005752,NA,NA,NA,NA
fixed,NA,(Intercept),-0.16685173150353325,0.1091343388819427,-1.5288655542599383,7.3196209273135855,0.16829081164531262
fixed,NA,SpeechStyle,0.15614977595165852,0.1512414017699099,1.0324539056389859,6.804755804176941,0.3371514074436441
fixed,NA,age_subj,0.08562672732018396,0.11238791987138895,0.7618855070738105,22.000044141946795,0.45421921711109337
ran_pars,subj_id,sd__(Intercept),0.16349774054591013,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,-0.3558657242864379,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,0.18711735634469537,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.1985508012135596,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.28598295623295344,NA,NA,NA,NA
fixed,NA,(Intercept),0.07402331042290808,0.1410554234524889,0.5247817390576339,6.01066257683983,0.6185190442167536
fixed,NA,SpeechStyle,-4.8739208067315724e-4,0.20168873469989346,-0.002416555795237555,6.2750355670045055,0.9981468734293227
fixed,NA,age_subj,0.2801489252240725,0.09195626174618289,3.0465453891257326,74.63921205062569,0.0031990629209998917
ran_pars,subj_id,sd__(Intercept),0,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,NA,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,0.149334131323007,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.2750453809979549,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.3039081270336332,NA,NA,NA,NA
fixed,NA,(Intercept),0.07329616853580823,0.12619124498249742,0.5808340233585485,6.194465227274874,0.5818541887964049
fixed,NA,SpeechStyle,-0.017536209469583047,0.1841616935376548,-0.09522180825296053,6.997311067182138,0.9268082192684215
fixed,NA,age_subj,-0.004431521245125174,0.10169868032578744,-0.04357501229051334,21.99999803644946,0.9656362582054403
ran_pars,subj_id,sd__(Intercept),0.078120304212925,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,-0.03695912134073754,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,0.2499865576118742,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.2418297105225232,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.3152780332222394,NA,NA,NA,NA
fixed,NA,(Intercept),-0.10713471274823583,0.09552881695487804,-1.1214910449361024,7.869248143579315,0.2951320174727217
fixed,NA,SpeechStyle,0.21651157700144097,0.14218116253368968,1.5227866557226861,9.48650233999488,0.16042475823818783
fixed,NA,age_subj,0.24136825338277126,0.12479185402298437,1.9341667392674178,22.00051661354869,0.06605766485190818
ran_pars,subj_id,sd__(Intercept),0.17088409265779456,NA,NA,NA,NA
