effect,group,term,estimate,std.error,statistic,df,p.value
fixed,NA,(Intercept),-0.09422190527773865,0.04188651499868806,-2.249456782945294,11.663020760552689,0.04464044980832348
fixed,NA,SpeechStyle,0.48670368826177346,0.07509977579195377,6.480760869514063,20.183121172113363,2.4473142541488932e-6
ran_pars,subj_id,sd__(Intercept),0.0759844341900154,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,0.18779744374048435,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,0.2503830137910688,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.07279923303441176,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.3013467348641071,NA,NA,NA,NA
fixed,NA,(Intercept),0.07002441102173268,0.04227137766043096,1.6565443308766479,11.216765946449398,0.12529074117732733
fixed,NA,SpeechStyle,0.22090532037459143,0.06313592353333061,3.4988847554906117,13.176974946482977,0.003849525808873451
ran_pars,subj_id,sd__(Intercept),0.05473859835499666,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,1,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,0.12605702972297636,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.08073045090732077,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.2879471607652181,NA,NA,NA,NA
fixed,NA,(Intercept),-0.09796236885346674,0.05938107815362231,-1.6497236476581374,13.377657977011703,0.12227130981336687
fixed,NA,SpeechStyle,0.43674557769970507,0.08656075332897989,5.045538086294426,14.710897805969214,1.5381117341525216e-4
ran_pars,subj_id,sd__(Intercept),0.11804438293990578,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,-0.4269227488534505,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,0.1960660394956279,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.11871160318821695,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.2931461412478241,NA,NA,NA,NA
fixed,NA,(Intercept),0.13028931747530048,0.0723451912794551,1.8009395672480668,10.547480759934878,0.10033456360505284
fixed,NA,SpeechStyle,0.3055441908654962,0.11650737624637893,2.6225308706580077,16.39968460953883,0.018206123635497323
ran_pars,subj_id,sd__(Intercept),0.06297819934687668,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,-0.19281485932807302,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,0.2872004087758148,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.1632911222363019,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.29989623037834945,NA,NA,NA,NA
fixed,NA,(Intercept),0.09695711735400384,0.06005643436752144,1.6144334637095656,13.882693486645918,0.12892486936985087
fixed,NA,SpeechStyle,0.3332094737325131,0.09900785068704401,3.365485377374385,20.772257050145445,0.0029583135913404776
ran_pars,subj_id,sd__(Intercept),0.12694283064268572,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,-0.06961493892527322,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,0.30718896076852414,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.1175952514859337,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.30133256519830043,NA,NA,NA,NA
fixed,NA,(Intercept),-0.05176538953052608,0.05513386615424292,-0.9389036746617195,14.909011711163723,0.3627433272047389
fixed,NA,SpeechStyle,0.5264354604042717,0.0816225039672255,6.449636250018198,16.943951212015865,6.089112776872845e-6
ran_pars,subj_id,sd__(Intercept),0.12880122548848535,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,-0.14631046855182436,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,0.2171760428921955,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.10390131125282949,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.28123461155950236,NA,NA,NA,NA
fixed,NA,(Intercept),0.03716484685880393,0.05898483127962105,0.6300746488978124,13.113878165902236,0.5394698426606782
fixed,NA,SpeechStyle,0.3936911779211599,0.0887122518943964,4.437844486123655,15.86229896333446,4.216680444591946e-4
