effect,group,term,estimate,std.error,statistic,df,p.value
fixed,NA,(Intercept),0.024395861242369123,0.05269591297707052,0.4629554715748914,24.512735241434193,0.6474801191303099
fixed,NA,SpeechStyle,0.4059519861778801,0.053711334332218336,7.558032047146013,70.88714104463185,1.1106573688806039e-10
ran_pars,subj_id,sd__(Intercept),0.17898287030782467,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,1,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,0.004274394672440457,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.2630960053062765,NA,NA,NA,NA
fixed,NA,(Intercept),-0.022204604890365194,0.05830785062869272,-0.38081672795255683,1.999982441645807,0.7399842054457288
fixed,NA,SpeechStyle,0.4621437306950506,0.09376606385226491,4.92868860767357,3.230728293503504,0.013420328429878038
ran_pars,subj_id,sd__(Intercept),0,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,NA,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,0.21867586097076966,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.051196674495225566,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.31667692346007664,NA,NA,NA,NA
fixed,NA,(Intercept),9.763002317512976e-5,0.05307867669462599,0.0018393454632793138,23.043686753386226,0.9985482462913045
fixed,NA,SpeechStyle,0.4404701240059529,0.06810240189751715,6.467761954545856,30.256382537565027,3.654219278110497e-7
ran_pars,subj_id,sd__(Intercept),0.13847702827341066,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,-0.9999999769817547,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,0.12012352823908566,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.31125685442164364,NA,NA,NA,NA
fixed,NA,(Intercept),0.09274745292763326,0.05529254180162059,1.6773953575944105,6.016807251978436,0.14433812701618084
fixed,NA,SpeechStyle,0.34397273133156414,0.06530174150770607,5.267435804770581,3.3767278446829447,0.009837152480163418
ran_pars,subj_id,sd__(Intercept),0.19410958063510503,NA,NA,NA,NA
