effect,group,term,estimate,std.error,statistic,df,p.value
fixed,NA,(Intercept),0.18642388028586115,0.09329879719513907,1.998138088489462,7.744346359622848,0.0819281941519374
fixed,NA,SpeechStyle:age_subj,0.512867810260199,0.24941767724623073,2.0562608710122996,21.07980248974706,0.05234829088576257
ran_pars,subj_id,sd__(Intercept),0.04771381601004718,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,0.9999999960216167,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,0.24972039966934406,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.23771335946386885,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.29843479461189115,NA,NA,NA,NA
fixed,NA,(Intercept),0.14310243064699588,0.08937511314916605,1.6011440501133638,9.383791365399153,0.1424280786661345
fixed,NA,SpeechStyle:age_subj,0.13845097546961388,0.2119146547511417,0.6533336527962229,21.988829792297263,0.5203149778822169
ran_pars,subj_id,sd__(Intercept),0.10623241591301627,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,0.35233169201294956,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,0.22760628657174106,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.22398206831546144,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.284646900191866,NA,NA,NA,NA
fixed,NA,(Intercept),0.18229733567310696,0.07457969994735585,2.4443291646625904,11.83637749173383,0.031163067497472028
fixed,NA,SpeechStyle:age_subj,0.18594099829542798,0.23235302148625137,0.800252121130391,21.538579172276044,0.4323033185390406
ran_pars,subj_id,sd__(Intercept),0.18299806018598952,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,0.12314072378372055,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,0.24966964324949958,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.15303014137017754,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.2740236545884069,NA,NA,NA,NA
fixed,NA,(Intercept),0.16166473668486278,0.0911431134519646,1.7737460413843047,9.842855761759216,0.10698529606003591
fixed,NA,SpeechStyle:age_subj,1.005632745042554,0.243719502714143,4.126189056860394,26.82222758861435,3.200095277627803e-4
ran_pars,subj_id,sd__(Intercept),0.12481238071599812,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,0.9999999915341121,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,0.1584342448620283,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.2214535097377582,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.2954016622044136,NA,NA,NA,NA
fixed,NA,(Intercept),0.2471572732786945,0.06490925768841481,3.8077353228275763,8.656612737457083,0.004476120231475132
fixed,NA,SpeechStyle:age_subj,0.3879669932476262,0.18158872399601533,2.136514783022207,21.155172696435944,0.04447696995922786
ran_pars,subj_id,sd__(Intercept),0.11186863323525544,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,-0.28395007914359244,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,0.27187551932163495,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.15335059032976972,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.2839551127804542,NA,NA,NA,NA
fixed,NA,(Intercept),0.13716164585893895,0.0923629360439093,1.4850290791290173,8.725004685650651,0.17274285451316504
fixed,NA,SpeechStyle:age_subj,0.26610662819384917,0.18471529444617915,1.4406312644099168,27.590937699266046,0.16094153148257798
ran_pars,subj_id,sd__(Intercept),0.10060144980576524,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,0.9999999991868149,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,0.1174691046754759,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.23576834952252787,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.29298028723687747,NA,NA,NA,NA
fixed,NA,(Intercept),0.271211773973619,0.09327827685153033,2.907555575938681,7.879361664492933,0.019984961646837787
fixed,NA,SpeechStyle:age_subj,0.8448904325315444,0.20433513787595878,4.134826938303844,20.993774600819016,4.7095045480123474e-4
ran_pars,subj_id,sd__(Intercept),0.06306387030539445,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,0.7461225342792848,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,0.20327596502982562,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.242636778322412,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.27542814809530175,NA,NA,NA,NA
fixed,NA,(Intercept),0.18798236981338984,0.09450577499622542,1.9891098699618928,7.876029145150931,0.08244964951085336
fixed,NA,SpeechStyle:age_subj,0.5444114991219291,0.1958190974835069,2.7801757138002476,21.599449680299987,0.011032438286133976
ran_pars,subj_id,sd__(Intercept),0.08307776656690023,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,0.1120004519112431,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,0.20864199139969425,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.248291036934023,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.28380015513296586,NA,NA,NA,NA
