effect,group,term,estimate,std.error,statistic,df,p.value
fixed,NA,(Intercept),10064.888276025931,808.9446495043727,12.441998698171162,3.4833475352234546,5.205888640558675e-4
fixed,NA,SpeechStyle,2045.3549880423968,1436.2517318428083,1.4240922692695852,2.2020852072025447,0.27963149550458005
ran_pars,subj_id,sd__(Intercept),1985.822316371468,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,-0.38947444265980286,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,1568.4512009567572,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),1273.8421017528378,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,2846.655742933836,NA,NA,NA,NA
fixed,NA,(Intercept),10069.222428447769,616.4230712266988,16.334921417541594,7.595459981909692,3.4344262536940817e-7
fixed,NA,SpeechStyle,3321.4648086369316,854.9955788946661,3.884774249863262,2.152191261621281,0.053554183404500105
ran_pars,subj_id,sd__(Intercept),2213.5725966211376,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,-1,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,816.2122623809807,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),623.8774728318878,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,2745.3345287004,NA,NA,NA,NA
fixed,NA,(Intercept),10193.561987328145,505.75765627330037,20.15503247630475,23.000179495345893,4.085521855990369e-16
fixed,NA,SpeechStyle,2635.2585661618414,605.9228733830143,4.349165020703961,23.00010449249818,2.3581243185925e-4
ran_pars,subj_id,sd__(Intercept),2125.770784607644,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,0.7304216760528832,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,1526.7969537908793,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,2545.6456441587416,NA,NA,NA,NA
fixed,NA,(Intercept),10022.352575309125,585.162232774435,17.127476815771338,22.999847893820665,1.3784321376755649e-14
fixed,NA,SpeechStyle,1694.1210953388045,933.0624835081044,1.8156566417388162,23.000008084579886,0.08248371633962101
ran_pars,subj_id,sd__(Intercept),2064.0542153082956,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,-0.09446655685332489,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,2250.3308774847537,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,3978.761779368824,NA,NA,NA,NA
fixed,NA,(Intercept),9508.729373367956,446.4455377914478,21.2987443449594,23.00109838526749,1.2201982788327834e-16
fixed,NA,SpeechStyle,2359.91909959662,573.3614759110152,4.1159359300290275,22.999857217256764,4.216805613697463e-4
ran_pars,subj_id,sd__(Intercept),1774.7813352307485,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,-0.2682068359770832,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,1164.1000697587854,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,2556.3083141515176,NA,NA,NA,NA
fixed,NA,(Intercept),10116.84088346191,453.31164825605566,22.31762833005199,23.125186388136186,3.810562164723428e-17
fixed,NA,SpeechStyle,1643.62668824463,664.4535391564598,2.473651792616313,59.7354720741078,0.01623463296945013
ran_pars,subj_id,sd__(Intercept),1536.4532071767326,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,1,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,558.1565420489503,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,3206.9339580523074,NA,NA,NA,NA
fixed,NA,(Intercept),9841.957102910617,598.4523985380233,16.445680770857997,5.742866120646476,4.752279169970651e-6
fixed,NA,SpeechStyle,2371.6156673473843,879.4366068281555,2.6967443121352863,2.0536579369881567,0.11123129599705465
ran_pars,subj_id,sd__(Intercept),2005.402584753274,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,-1,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,516.1605948916061,NA,NA,NA,NA
