effect,group,term,estimate,std.error,statistic,df,p.value
fixed,NA,(Intercept),10533.184536203911,413.3986327318892,25.47948566398679,22.99998296486832,2.32765558226452e-18
fixed,NA,SpeechStyle,2198.860704466303,406.61785371489657,5.40768361344028,22.999991166402907,1.7065128434464456e-5
ran_pars,subj_id,sd__(Intercept),1841.665866408687,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,-0.6263105279924682,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,1062.4487341661702,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,3370.0543510760867,NA,NA,NA,NA
fixed,NA,(Intercept),10095.244000840452,500.90705688003,20.153926486322828,23.000305585173503,4.0898950729889303e-16
fixed,NA,SpeechStyle,919.0907723891046,440.2845323558898,2.0874927571750064,23.00007374612064,0.048114234874830235
ran_pars,subj_id,sd__(Intercept),2281.428791204104,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,0.18661744404226582,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,1176.8279989070365,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,3615.238375185089,NA,NA,NA,NA
fixed,NA,(Intercept),10091.573121468607,425.0082869458557,23.74441494773544,24.990131227042905,1.1529647763755738e-18
fixed,NA,SpeechStyle,1761.2088522886907,455.10907528860935,3.8698609804074167,14.360480807681016,0.001627246989063691
ran_pars,subj_id,sd__(Intercept),1819.7390171647987,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,0.5199465995499569,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,936.0056788473378,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),511.3635916815881,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,3178.6283341226535,NA,NA,NA,NA
fixed,NA,(Intercept),9561.636143528647,475.9689922769357,20.088779518572814,23.000032780789052,4.3903927938099146e-16
fixed,NA,SpeechStyle,1522.165396311099,391.9650434882454,3.883421293809194,23.00001223851566,7.51114269948603e-4
ran_pars,subj_id,sd__(Intercept),2216.4087599387635,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,-0.1911550316146189,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,1260.431361740649,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,2897.3029319989446,NA,NA,NA,NA
fixed,NA,(Intercept),9400.237488487186,435.4962128572385,21.58511879314255,26.219892610597846,3.195805401086137e-18
fixed,NA,SpeechStyle,2617.433000808567,394.5248055293057,6.634393995320382,14.358587658018205,9.90543613335707e-6
ran_pars,subj_id,sd__(Intercept),1906.731494731151,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,1,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,266.51147934254027,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),550.87948771658,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,2715.7010908624184,NA,NA,NA,NA
fixed,NA,(Intercept),10239.555490649802,526.1540214713316,19.46113699181851,23.688064712515665,4.489821205427869e-16
fixed,NA,SpeechStyle,2068.1963238803655,436.1315422738283,4.742138835218283,15.03603548154345,2.603753686213691e-4
ran_pars,subj_id,sd__(Intercept),2418.3958930738468,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,0.43789373797013853,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,1176.0777613447692,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),345.58402166683476,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,3140.2729404109355,NA,NA,NA,NA
fixed,NA,(Intercept),9535.809342669492,464.31524528890276,20.53735999285613,23.453654180867805,1.704771421465745e-16
fixed,NA,SpeechStyle,1017.9518267458184,367.9316324043348,2.766687441614562,14.777401145712588,0.014550648394267963
ran_pars,subj_id,sd__(Intercept),2100.25401864573,NA,NA,NA,NA
