effect,group,term,estimate,std.error,statistic,df,p.value
fixed,NA,(Intercept),0.04763373558141631,0.050903717043751046,0.9357614403772472,25.055773453623676,0.35832817460474975
fixed,NA,SpeechStyle,0.4663220158984773,0.05322541371145973,8.76126615805103,267.7783074770124,2.251632735913205e-16
ran_pars,subj_id,sd__(Intercept),0.1686880123119335,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,-1,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,0.02291111790973984,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.5194834073587764,NA,NA,NA,NA
fixed,NA,(Intercept),-0.07044885425359103,0.04551828303739312,-1.5477045607304107,10.635828293389713,0.15091425142069956
fixed,NA,SpeechStyle,0.44294427974292655,0.06537585762035948,6.775349431209357,11.051867802638736,2.9815647542973728e-5
ran_pars,subj_id,sd__(Intercept),0.05067443199707307,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,0.9003902110323031,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,0.09088446508906302,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.057242162351956595,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.5464653303969013,NA,NA,NA,NA
fixed,NA,(Intercept),0.003603540685436517,0.053160822610335286,0.06778564567840102,18.966006953981264,0.9466657967063012
fixed,NA,SpeechStyle,0.3628836021905876,0.0545011250603093,6.658277270222065,14.010385376954924,1.0774162947520962e-5
ran_pars,subj_id,sd__(Intercept),0.17950055630026784,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,1,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,0.008850745911882906,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.04165150496394315,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.4931592857906353,NA,NA,NA,NA
fixed,NA,(Intercept),0.015775584832989922,0.04814698636067101,0.3276546680370477,12.047252454039478,0.7487966370523916
fixed,NA,SpeechStyle,0.3433748712836625,0.0742887154910427,4.622167297064985,14.872301901838673,3.39296009990435e-4
ran_pars,subj_id,sd__(Intercept),0.05524561975172151,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,-0.664409834433938,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,0.16518270126565665,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0.081066372399459,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.5127793006038858,NA,NA,NA,NA
fixed,NA,(Intercept),-0.023998891553220675,0.036897007383032074,-0.6504292151416353,355.36941499364883,0.5158352890225156
fixed,NA,SpeechStyle,0.332669183245707,0.06106224630735088,5.448033823899124,31.9014612414663,5.444695272432277e-6
ran_pars,subj_id,sd__(Intercept),0,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,NA,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,0.15536946545206667,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.5112599314772442,NA,NA,NA,NA
fixed,NA,(Intercept),0.0518221316673235,0.05163363768873461,1.0036506042771032,22.999873421554845,0.3259900589285658
fixed,NA,SpeechStyle,0.2375197511835935,0.06661062804589456,3.565793600083503,22.999862708309895,0.001641939279776719
ran_pars,subj_id,sd__(Intercept),0.1859799159998649,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,-0.7945538722571691,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,0.2183916545842473,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.48494331073229285,NA,NA,NA,NA
fixed,NA,(Intercept),3.165599261946383e-4,0.047489552866164166,0.006665885591443084,22.999983677389743,0.9947389134156905
