effect,group,term,estimate,std.error,statistic,df,p.value
fixed,NA,(Intercept),10015.094895296805,688.5449546502673,14.545302855909783,23.00060275082615,4.350417932028085e-13
fixed,NA,SpeechStyle,2475.4883103987363,911.6399639020567,2.7154232026018263,23.00018509213694,0.012338973120036527
ran_pars,subj_id,sd__(Intercept),2956.343107216565,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,0.6646183457428051,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,3064.786713951126,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,3248.5659249565615,NA,NA,NA,NA
fixed,NA,(Intercept),10206.087992229695,519.1599023895375,19.658852590991966,23.008187172325336,6.977181125760899e-16
fixed,NA,SpeechStyle,1461.9812356247899,677.7026710121586,2.1572605482597553,70.32348865594412,0.03440412658587407
ran_pars,subj_id,sd__(Intercept),1928.3760610005734,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,-0.999999614737978,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,150.6199514463912,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,3316.633153870748,NA,NA,NA,NA
fixed,NA,(Intercept),10519.75486818915,602.1284515755032,17.470948002313484,7.694236167203982,1.811257759821143e-7
fixed,NA,SpeechStyle,1512.8422947508443,1005.7134367600377,1.5042478696760289,4.298917804890217,0.202099318953318
ran_pars,subj_id,sd__(Intercept),2186.3585959844204,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,0.06492030342411548,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,2930.878966311613,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),551.2748145869384,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,2896.77109575401,NA,NA,NA,NA
fixed,NA,(Intercept),10497.754184686828,528.4629928545623,19.864691239743824,23.00060995333675,5.603255635803114e-16
fixed,NA,SpeechStyle,880.2543271144237,793.4189094465595,1.1094446031396394,22.99715618537964,0.27870564536116305
ran_pars,subj_id,sd__(Intercept),1775.7070445147865,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,-0.12411260965682293,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,954.2780884845057,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,3767.980747118433,NA,NA,NA,NA
fixed,NA,(Intercept),10807.852510806904,605.6267300754785,17.845732320071036,10.760847366742446,2.446608499658149e-9
fixed,NA,SpeechStyle,3234.424915068685,754.5002311951688,4.286844166959608,2.490089063248304,0.03363758427728427
ran_pars,subj_id,sd__(Intercept),2402.2748490018553,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,0.999999998018291,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,1238.9324033574562,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),433.997591901029,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,2758.0875689968634,NA,NA,NA,NA
fixed,NA,(Intercept),11000.838967865957,542.0429771647356,20.295141587126633,23.1450514787012,3.032022929792135e-16
fixed,NA,SpeechStyle,1942.5751870227766,717.8344779195531,2.7061603291232252,50.33802240445215,0.009268167089233113
ran_pars,subj_id,sd__(Intercept),2050.3619672137993,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,1,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,988.4292275938187,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,3374.8895932458563,NA,NA,NA,NA
fixed,NA,(Intercept),10650.197301903607,577.0937061498829,18.454883822866602,23.00003450939903,2.768854073819842e-15
fixed,NA,SpeechStyle,1365.8536081004897,831.5758326822807,1.6424883389105656,22.999956474971366,0.11409235342695326
ran_pars,subj_id,sd__(Intercept),2177.5722340421858,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,-0.20156754226098011,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,1895.2989539505145,NA,NA,NA,NA
ran_pars,item_id,sd__(Intercept),0,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,3606.1451228678498,NA,NA,NA,NA
fixed,NA,(Intercept),11562.121361370186,613.7515459947338,18.83843949041457,2.1460046140568623,0.002016055764138062
fixed,NA,SpeechStyle,2781.241108719339,1191.0766574000115,2.3350647428440756,1.9997905415997757,0.1446567284843454
ran_pars,subj_id,sd__(Intercept),727.2414928447911,NA,NA,NA,NA
ran_pars,subj_id,cor__(Intercept).SpeechStyle,1,NA,NA,NA,NA
ran_pars,subj_id,sd__SpeechStyle,33.3926142736425,NA,NA,NA,NA
